Carbonne,FR,12.69,10.15
city,country,temp_max,temp_min
Carbonne,FR,12.61,10.07
city,country,temp_max,temp_min
Arrondissement de Marseille,FR,10.73,7.86
city,country,temp_max,temp_min
Saint-Pierre,FR,11.77,8.09
city,country,temp_max,temp_min
Ilharre,FR,14.75,9.91
city,country,temp_max,temp_min
Les Mées,FR,7.77,7.77
city,country,temp_max,temp_min
Castelsarrasin,FR,13.51,10.91
city,country,temp_max,temp_min
Vallabrix,FR,9.99,4.2
city,country,temp_max,temp_min
Lussolle,FR,11.75,9.12
city,country,temp_max,temp_min
Pontenx-les-Forges,FR,13.22,10.12
city,country,temp_max,temp_min
Pontenx-les-Forges,FR,13.29,10.19
city,country,temp_max,temp_min
Saint-Trosse,FR,13.12,9.96
city,country,temp_max,temp_min
Arrondissement de Périgueux,FR,10.83,1.31
city,country,temp_max,temp_min
Arrondissement de La Tour-du-Pin,FR,2.02,-1.32
city,country,temp_max,temp_min
Four,FR,2.61,-0.73
city,country,temp_max,temp_min
Corent,FR,-2.37,-2.37
city,country,temp_max,temp_min
Upper Savoy,FR,-6.93,-9.11
city,country,temp_max,temp_min
Franche-Comté Region,FR,1.67,-1.19
city,country,temp_max,temp_min
Jura,FR,0.66,-2.4
city,country,temp_max,temp_min
Trouy,FR,3.52,0.93
city,country,temp_max,temp_min
Trouy,FR,3.54,0.94
city,country,temp_max,temp_min
Doubs,FR,-0.8,-3.94
city,country,temp_max,temp_min
Arrondissement de Pontarlier,FR,0.45,-6.01
city,country,temp_max,temp_min
La Croix Verte,FR,5.59,4.58
city,country,temp_max,temp_min
Ormenans,FR,9.98,0.06
city,country,temp_max,temp_min
Brittany Region,FR,6.69,5.31
city,country,temp_max,temp_min
Champagne-Ardenne Region,FR,4.49,3.03
city,country,temp_max,temp_min
Île-de-France Region,FR,5.82,4.16
city,country,temp_max,temp_min
Fontenailles,FR,5.6,3.87
city,country,temp_max,temp_min
Audignicourt,FR,5.19,4.73
city,country,temp_max,temp_min
Somme,FR,6.77,4.44
city,country,temp_max,temp_min
Béthencourt-sur-Mer,FR,6.37,4.66
city,country,temp_max,temp_min
L'Hospitalet-près-l'Andorre,FR,4.4,0.44
city,country,temp_max,temp_min
L'Allier,FR,3.92,3.45
city,country,temp_max,temp_min
L'Eure,FR,7.42,6.42
city,country,temp_max,temp_min
Saint-Girons,FR,10.13,8.56
city,country,temp_max,temp_min
Grenoble,FR,4.88,0.93
city,country,temp_max,temp_min
Serres-Castet,FR,14.9,8.86
city,country,temp_max,temp_min
Mamers,FR,4.29,4.29
city,country,temp_max,temp_min
Bar-sur-Aube,FR,3.79,2.51
city,country,temp_max,temp_min
Anguilcourt-le-Sart,FR,5.67,4.86
city,country,temp_max,temp_min
Yerres,FR,5.8,4.14
city,country,temp_max,temp_min
Arrondissement de Mulhouse,FR,3.55,-0.39
city,country,temp_max,temp_min
Hésingue,FR,3.39,-0.21
city,country,temp_max,temp_min
Les Chenais,FR,7.02,6.12
city,country,temp_max,temp_min
Arrondissement de Sarlat-la-Canéda,FR,10.38,6.8
city,country,temp_max,temp_min
Dhuizon,FR,4.09,3.7
city,country,temp_max,temp_min
Dhuizon,FR,4.05,3.66
city,country,temp_max,temp_min
Lot-et-Garonne,FR,10.42,8.99
city,country,temp_max,temp_min
Arrondissement d'Agen,FR,11.6,9.47
city,country,temp_max,temp_min
Pont-du-Casse,FR,11.6,9.47
city,country,temp_max,temp_min
Pont-du-Casse,FR,11.59,9.45
city,country,temp_max,temp_min
Rosny-sous-Bois,FR,5.9,4.25
city,country,temp_max,temp_min
Grégny,FR,5.09,-4.06
city,country,temp_max,temp_min
Plérin,FR,7.16,5.62
city,country,temp_max,temp_min
Arrondissement de Rambouillet,FR,5.25,3.6
city,country,temp_max,temp_min
Saint-Germain-de-la-Grange,FR,5.63,3.97
city,country,temp_max,temp_min
Allier,FR,1.11,-0.23
city,country,temp_max,temp_min
Pouillon,FR,14.8,9.96
city,country,temp_max,temp_min
Aiffres,FR,1.95,1.56
city,country,temp_max,temp_min
Aiffres,FR,1.85,1.49
city,country,temp_max,temp_min
Arrondissement de Dijon,FR,2.02,0.86
city,country,temp_max,temp_min
Marcilly-sur-Tille,FR,2.6,1.45
city,country,temp_max,temp_min
Marcilly-sur-Tille,FR,2.58,1.42
city,country,temp_max,temp_min
Montaigut-sur-Save,FR,12.81,10.27
city,country,temp_max,temp_min
Allennes-les-Marais,FR,7.11,5.55
city,country,temp_max,temp_min
Quiberon,FR,7.82,6.19
city,country,temp_max,temp_min
Nexon,FR,8.45,5.59
city,country,temp_max,temp_min
Loiret,FR,3.99,3.06
city,country,temp_max,temp_min
La Jacqueminière,FR,3.5,2.8
city,country,temp_max,temp_min
Quévert,FR,6.87,5.33
city,country,temp_max,temp_min
Hazebrouck,FR,7.11,6.06
city,country,temp_max,temp_min
Villeurbanne,FR,2.43,0.45
city,country,temp_max,temp_min
Arrondissement de Brest,FR,10.1,6.08
city,country,temp_max,temp_min
Amiens,FR,6.81,4.48
city,country,temp_max,temp_min
Strasbourg,FR,2.39,0.29
city,country,temp_max,temp_min
Nanterre,FR,6.04,4.33
city,country,temp_max,temp_min
Orne,FR,6.3,6.3
city,country,temp_max,temp_min
Créteil,FR,6.01,4.36
city,country,temp_max,temp_min
Saint-Denis,FR,6.13,4.42
city,country,temp_max,temp_min
Clermont-Ferrand,FR,0.62,-2.34
city,country,temp_max,temp_min
Clermont-Ferrand,FR,0.44,-2.53
city,country,temp_max,temp_min
Arrondissement de Tarbes,FR,14.26,8.59
city,country,temp_max,temp_min
Clermont,FR,5.95,4.25
city,country,temp_max,temp_min
Perpignan,FR,12.57,9.58
city,country,temp_max,temp_min
Calvados,FR,6.88,6
city,country,temp_max,temp_min
Le Mans,FR,4.94,4.05
city,country,temp_max,temp_min
Le Mans,FR,4.94,4.05
city,country,temp_max,temp_min
Reims,FR,5.79,3.53
city,country,temp_max,temp_min
Argentan,FR,6.4,5.87
city,country,temp_max,temp_min
Arrondissement de Roanne,FR,1.31,-0.54
city,country,temp_max,temp_min
Roanne,FR,1.74,-0.11
city,country,temp_max,temp_min
Landerneau,FR,10.55,6.52
city,country,temp_max,temp_min
Arrondissement de Beauvais,FR,6.64,4.14
city,country,temp_max,temp_min
Ville-d'Avray,FR,5.68,4.02
city,country,temp_max,temp_min
Fontainebleau,FR,6.48,4.37
city,country,temp_max,temp_min
Chamalières,FR,0.37,-2.6
city,country,temp_max,temp_min
Saint-Brieuc,FR,6.69,5.16
city,country,temp_max,temp_min
Nièvre,FR,0.3,0.29
city,country,temp_max,temp_min
La Seyne-sur-Mer,FR,12.97,10.38
city,country,temp_max,temp_min
Coutances,FR,7.4,6.92
city,country,temp_max,temp_min
Coutances,FR,7.4,6.92
city,country,temp_max,temp_min
Mondeville,FR,7.41,6.53
city,country,temp_max,temp_min
Yèvres,FR,3.88,3.41
city,country,temp_max,temp_min
Saverne,FR,5.51,-0.73
city,country,temp_max,temp_min
Lunéville,FR,4.38,0.17
city,country,temp_max,temp_min
Arrondissement du Puy-en-Velay,FR,-1.57,-1.57
city,country,temp_max,temp_min
Coubon,FR,-0.6,-0.6
city,country,temp_max,temp_min
Coubon,FR,-0.6,-0.6
city,country,temp_max,temp_min
Arrondissement de Charleville-Mézières,FR,5.19,3.88
city,country,temp_max,temp_min
Arrondissement de Bonneville,FR,0.04,-9.47
city,country,temp_max,temp_min
Sotteville,FR,9.2,7.09
city,country,temp_max,temp_min
Riva-Bella,FR,7.42,6.54
city,country,temp_max,temp_min
Arrondissement de Saint-Julien-en-Genevois,FR,-0.41,-4.61
city,country,temp_max,temp_min
Labenne,FR,14.88,10.23
city,country,temp_max,temp_min
Bruges,FR,10.77,5.01
city,country,temp_max,temp_min
Tresses,FR,10.5,4.73
city,country,temp_max,temp_min
Lacanau,FR,10.79,5.03
city,country,temp_max,temp_min
Arrondissement d'Épinal,FR,0.62,-1.09
city,country,temp_max,temp_min
Gavray,FR,7.53,7.14
city,country,temp_max,temp_min
Baron-sur-Odon,FR,6.94,6.06
city,country,temp_max,temp_min
Arrondissement de Nontron,FR,8.89,0
city,country,temp_max,temp_min
Biguglia,FR,13.07,10.35
